,News Channel,Date,Compound,Positive,Neutral,Negative,Tweets Ago
168,@FoxNews,Wed Mar 07 23:01:44 +0000 2018,0.0,0.0,1.0,0.0,9
169,@FoxNews,Wed Mar 07 22:58:00 +0000 2018,0.5574,0.223,0.777,0.0,10
170,@FoxNews,Wed Mar 07 22:57:23 +0000 2018,-0.5423,0.0,0.741,0.259,11
171,@FoxNews,Wed Mar 07 22:57:00 +0000 2018,0.0,0.0,1.0,0.0,12
172,@FoxNews,Wed Mar 07 22:45:10 +0000 2018,0.0,0.0,1.0,0.0,13
173,@FoxNews,Wed Mar 07 22:39:00 +0000 2018,0.8225,0.286,0.714,0.0,14
174,@FoxNews,Wed Mar 07 22:32:00 +0000 2018,-0.5106,0.0,0.823,0.177,15
175,@FoxNews,Wed Mar 07 22:30:00 +0000 2018,0.3832,0.178,0.822,0.0,16
176,@FoxNews,Wed Mar 07 22:24:34 +0000 2018,0.0,0.0,1.0,0.0,17
177,@FoxNews,Wed Mar 07 22:15:00 +0000 2018,0.0,0.0,1.0,0.0,18
178,@FoxNews,Wed Mar 07 22:10:53 +0000 2018,-0.8166,0.0,0.694,0.306,19
179,@FoxNews,Wed Mar 07 22:09:57 +0000 2018,0.5574,0.153,0.847,0.0,20
180,@nytimes,Wed Mar 07 23:51:02 +0000 2018,0.0,0.0,1.0,0.0,1
181,@nytimes,Wed Mar 07 23:46:20 +0000 2018,0.0,0.0,1.0,0.0,2
182,@nytimes,Wed Mar 07 23:32:02 +0000 2018,0.4019,0.124,0.876,0.0,3
183,@nytimes,Wed Mar 07 23:17:06 +0000 2018,0.0,0.0,1.0,0.0,4
184,@nytimes,Wed Mar 07 23:00:44 +0000 2018,-0.1531,0.123,0.727,0.15,5
185,@nytimes,Wed Mar 07 22:56:16 +0000 2018,-0.3612,0.0,0.898,0.102,6
186,@nytimes,Wed Mar 07 22:45:10 +0000 2018,0.0,0.0,1.0,0.0,7
187,@nytimes,Wed Mar 07 22:30:10 +0000 2018,0.0,0.0,1.0,0.0,8
188,@nytimes,Wed Mar 07 22:15:03 +0000 2018,0.0,0.0,1.0,0.0,9
189,@nytimes,Wed Mar 07 22:00:44 +0000 2018,0.2263,0.137,0.863,0.0,10
190,@nytimes,Wed Mar 07 21:52:04 +0000 2018,0.0,0.0,1.0,0.0,11
191,@nytimes,Wed Mar 07 21:45:07 +0000 2018,-0.296,0.0,0.909,0.091,12
192,@nytimes,Wed Mar 07 21:30:04 +0000 2018,0.5719,0.188,0.812,0.0,13
193,@nytimes,Wed Mar 07 21:22:32 +0000 2018,0.4939,0.158,0.842,0.0,14
194,@nytimes,Wed Mar 07 21:19:00 +0000 2018,0.0,0.0,1.0,0.0,15
195,@nytimes,Wed Mar 07 21:14:00 +0000 2018,0.7783,0.387,0.511,0.102,16
196,@nytimes,Wed Mar 07 21:10:00 +0000 2018,-0.7506,0.1,0.571,0.329,17
197,@nytimes,Wed Mar 07 21:05:08 +0000 2018,-0.4588,0.051,0.82,0.129,18
198,@nytimes,Wed Mar 07 21:00:25 +0000 2018,0.5574,0.141,0.859,0.0,19
199,@nytimes,Wed Mar 07 20:45:06 +0000 2018,-0.0258,0.17,0.654,0.176,20
200,@BBCNews,Wed Mar 07 22:36:52 +0000 2018,0.0,0.0,1.0,0.0,1
201,@BBCNews,Wed Mar 07 22:36:16 +0000 2018,0.0,0.0,1.0,0.0,2
202,@BBCNews,Wed Mar 07 22:35:39 +0000 2018,-0.4939,0.0,0.802,0.198,3
203,@BBCNews,Wed Mar 07 22:34:43 +0000 2018,-0.4939,0.0,0.824,0.176,4
204,@BBCNews,Wed Mar 07 22:16:54 +0000 2018,-0.5719,0.0,0.764,0.236,5
205,@BBCNews,Wed Mar 07 22:15:30 +0000 2018,-0.4939,0.0,0.802,0.198,6
206,@BBCNews,Wed Mar 07 22:15:07 +0000 2018,-0.4939,0.0,0.802,0.198,7
207,@BBCNews,Wed Mar 07 22:14:47 +0000 2018,-0.1027,0.115,0.747,0.138,8
208,@BBCNews,Wed Mar 07 22:14:22 +0000 2018,0.0,0.0,1.0,0.0,9
209,@BBCNews,Wed Mar 07 19:25:19 +0000 2018,-0.6369,0.0,0.656,0.344,10
